ID,Priority,Feature,Status,Source implementation,Test command,Runtime evidence,OS tested,Error/limitation,Recommended fix,Estimated implementation complexity
REP-01,P0,Clean build JDK 25,PASS,"Gradle multi-project build","./gradlew clean build --no-build-cache --stacktrace","logs/phase2-clean-build-jdk25.log; exit 0; 132 tasks","macOS 26.5.1 arm64","JDK 21 unavailable","Keep JDK 25 CI gate",S
REP-02,P1,Build JDK 21,BLOCKED,"Toolchain targets Java 25","/usr/libexec/java_home -V","No JDK 21 installed","macOS 26.5.1 arm64","Project documents JDK 25 requirement; no JDK 21 runtime","Clarify that JDK 21 is unsupported or add a real CI leg",M
DX-01,P0,Create basic Gradle app,PASS,"modules/jdesk-cli templates/basic","jdesk create ... --template basic; ./gradlew classes","logs/phase3-developer-experience.log; both exit 0","macOS 26.5.1 arm64","Uses local --jdesk-source composite build","Test published artifacts in release CI",M
DX-02,P1,Create structured Gradle app,PASS,"modules/jdesk-cli templates/structured","jdesk create ... --template structured; ./gradlew classes","logs/phase3-developer-experience.log; both exit 0","macOS 26.5.1 arm64","Uses local --jdesk-source composite build","Test published artifacts in release CI",M
DX-03,P0,Vanilla template,NOT_IMPLEMENTED,"CLI accepts only basic or structured","jdesk create ... --template vanilla","exit 2 unsupported template","macOS 26.5.1 arm64","README claims vanilla frontend support but named template absent","Add named vanilla template and E2E test",M
DX-04,P0,React template,NOT_IMPLEMENTED,"No React template resources","jdesk create ... --template react","exit 2 unsupported template","macOS 26.5.1 arm64","Absent","Add and live-test React template",L
DX-05,P0,Vue template,NOT_IMPLEMENTED,"No Vue template resources","jdesk create ... --template vue","exit 2 unsupported template","macOS 26.5.1 arm64","Absent","Add and live-test Vue template",L
DX-06,P0,Svelte template,NOT_IMPLEMENTED,"No Svelte template resources","jdesk create ... --template svelte","exit 2 unsupported template","macOS 26.5.1 arm64","Absent","Add and live-test Svelte template",L
DX-07,P1,Maven template,NOT_IMPLEMENTED,"No pom template or Maven plugin","find generated projects -name pom.xml","0 files","macOS 26.5.1 arm64","Gradle-only implementation","Add Maven plugin/template or remove requirement",XL
DX-08,P0,jdesk dev and hot reload,PARTIAL,"JDeskDevTask and Vite command wiring","Gradle TestKit during build","Functional tests pass; no interactive edit/reload observation in this audit","macOS 26.5.1 arm64","No live HMR timing or UI evidence","Add deterministic live HMR/restart probe",L
